,term_1_umls_name,term_2_umls_name,sentence,term_1_umls_synonyms,term_2_umls_synonyms,pipeline,relation,evidence_count,Treat/Cause_str,is_correct,
266,dietary fat,3-00 cardiovascular disorders: general terms,Introduction: dietary fat has been reported as one of the significant risk factors in the development of cardiovascular diseases (CVD).,"dietary fat;dietary fat (substance);dietary fat nos;dietary fat nos (finding);dietary fats;dietary lipid;fat - dietary;fat - dietary (substance);fat, dietary;fats, dietary;total dietary fat;total dietary lipid","3-00 cardiovascular disorders: general terms;[x]cardiovasc disease,unspecif;[x]cardiovascular disease, unspecified;[x]cardiovascular disease, unspecified (disorder);cardiovasc dis;cardiovasc disease,unspecif;cardiovascular disease;cardiovascular disease (cvd);cardiovascular disease, nos;cardiovascular disease, unspecified;cardiovascular diseases;cardiovascular disorder;cardiovascular disorder (nos);cardiovascular disorder nos;cardiovascular disorder, nos;cardiovascular disorders;cardiovascular disorders (diagnosis);cardiovascular disorders, general;cardiovascular disorders: general terms;cardiovascular system disease;cardiovascular system diseases;cardiovascular system--diseases;cardiovascular; disorder;chapter 3 diseases of the cardiovascular system;cv disorders;cvd - cardiovascular disease;cvd, nos;cvs - cardiovascular system diseases;cvs disease;cvs disease - cardiovascular system disease;cvs disorders nos;disease (or disorder); cardiovascular;disease of cardiovascular system;disease of cardiovascular system (disorder);disease of cardiovascular system, nos;disease or syndrome of cardiovascular system;disease, cardiovascular;disease;cardiovascular;diseases affecting the entire cardiovascular system;diseases and syndromes of cardiovascular system;diseases of the cardiovascular system;diseases, cardiovascular;disorder cardiovascular (nos);disorder of cardiovascular system;disorder of cardiovascular system (disorder);general cardiovascular system diseases and syndromes;section 3-0 diseases affecting the entire cardiovascular system",foodis,cause,1,cause,1,
267,dietary fat,atherosclerosis,"Dietary fats containing saturated fatty acids at the beta-position tend to raise plasma total and LDL-cholesterol, which, of course, contribute to atherosclerosis and coronary heart disease.","dietary fat;dietary fat (substance);dietary fat nos;dietary fat nos (finding);dietary fats;dietary lipid;fat - dietary;fat - dietary (substance);fat, dietary;fats, dietary;total dietary fat;total dietary lipid",atherosclerosis,foodis,cause,1,cause,1,
268,dietary fat,cardiac dysfunction,The results support the hypotheses that SDS in broilers is a cardiac dysfunction associated with defective cardiac SR membrane function and that dietary fat type is implicated with the syndrome.,"dietary fat;dietary fat (substance);dietary fat nos;dietary fat nos (finding);dietary fats;dietary lipid;fat - dietary;fat - dietary (substance);fat, dietary;fats, dietary;total dietary fat;total dietary lipid",cardiac dysfunction,foodis,cause,1,cause,1,
269,dietary fat,chronic dis,"Dietary fat intake has been associated with the development of chronic diseases, including heart disease and cancer, in human populations; however, associations demonstrated between disease and fat intake may be confounded by related dietary factors.___Excess consumption of dietary fat promotes chronic disease such as heart disease and cancer.","dietary fat;dietary fat (substance);dietary fat nos;dietary fat nos (finding);dietary fats;dietary lipid;fat - dietary;fat - dietary (substance);fat, dietary;fats, dietary;total dietary fat;total dietary lipid","chronic dis;chronic disease;chronic disease (disorder);chronic disease, nos;chronic disease/disorder;chronic diseases;chronic disorder;chronic disorders;chronic illnesses;disease, chronic;diseases, chronic;illness, chronic;illnesses, chronic",foodis,cause,2,cause,1,
270,dietary fat,coronary heart disease,"Dietary fats containing saturated fatty acids at the beta-position tend to raise plasma total and LDL-cholesterol, which, of course, contribute to atherosclerosis and coronary heart disease.","dietary fat;dietary fat (substance);dietary fat nos;dietary fat nos (finding);dietary fats;dietary lipid;fat - dietary;fat - dietary (substance);fat, dietary;fats, dietary;total dietary fat;total dietary lipid",coronary heart disease,foodis,cause,1,cause,1,
271,dietary fat,inflamm,Dietary fat-type and copper (Cu) deficiency have been independently identified as potentially important factors in the etiology of ischemic heart disease (IHD); a disease that has been linked to inflammation and oxygen free radical (OFR) mediated damage.,"dietary fat;dietary fat (substance);dietary fat nos;dietary fat nos (finding);dietary fats;dietary lipid;fat - dietary;fat - dietary (substance);fat, dietary;fats, dietary;total dietary fat;total dietary lipid","inflamm;inflammation;inflammation (morphologic abnormality);inflammation (qualifier value);inflammation nos;inflammation, nos;inflammations;inflammatory reaction;inflammatory reaction, nos",foodis,cause,1,cause,1,
275,dietary fruit,obesity,"A decreasing intake of coarse cereals, pulses, fruits and vegetables, an increasing intake of meat products and salt, coupled with declining levels of physical activity due to rapid urbanization have resulted in escalating levels of obesity, atherogenic dyslipidemia, subclinical inflammation, metabolic syndrome, type 2 diabetes mellitus, and coronary heart disease in Indians.",dietary fruit;fructus;fruit (substance);fruits,obesity,foodis,cause,1,cause,0,
276,dietary gum,atrial fibrillation,The temporal relation between more frequent gum usage and the excessive consumption of nicotine polacrilex chewing gum with a probable high serum nicotine level at the time the patient developed his first episode of atrial fibrillation suggests a causal relationship.,dietary gum;gum,atrial fibrillation,foodis,cause,1,cause,1,0
277,dietary potassium,de pointe torsades,"Drug-induced torsades de pointes (TdP) is a potentially lethal ventricular arrhythmia that is associated with drugs that prolong the QT interval on the electrocardiogram (ECG) due to their interference with the cardiac potassium current,","dietary potassium;k;potassium;potassium dietary;potassium, dietary","de pointe torsades;de pointes, torsade;de pointes, torsades;des pointe torsade;des pointes torsade;des pointes torsades;pointes, torsade de;pointes, torsades de;tdp ventricular tachycardia;torsade de pointe;torsades de pointes;torsades de pointes (diagnosis);torsades de pointes (disorder);torsades de pointes by ecg finding;torsades de pointes by ekg finding;twisting spikes;vent tach polymorp+q-t prolong;ventricular tachycardia, polymorphic with q-t prolongation;ventricular tachycardia, torsades de pointes",foodis,cause,1,cause,,
278,dietary potassium,disease of kidney,Hyperkalemia (potassium >5.0 mEq/L) affects heart failure patients with renal disease regardless of the use of renin-angiotensin-aldosterone system inhibitors (RAASi).,"dietary potassium;k;potassium;potassium dietary;potassium, dietary","disease of kidney;disease, kidney;diseases kidneys;diseases, kidney;disorder kidney;disorder of kidney;disorder renal;disorder;kidney;kidney dis;kidney disease;kidney disease (disorder);kidney disease nos;kidney disease nos (disorder);kidney disease, nos;kidney diseases;kidney disorder;kidney disorders;kidneys--diseases;nephrologic disease;nephropathies;nephropathy;nephropathy (diagnosis);nephropathy nos;nephropathy, nos;renal disease;renal disease (diagnosis);renal disease nos;renal disease, nos;renal diseases;renal disorder;renal disorder (diagnosis);renal disorder nos;renal disorder, nos;renal disorders;renal disorders: nonspecific;renal; disease",foodis,cause,1,cause,,
279,dietary potassium,heart failure,Hyperkalemia (potassium >5.0 mEq/L) affects heart failure patients with renal disease regardless of the use of renin-angiotensin-aldosterone system inhibitors (RAASi).,"dietary potassium;k;potassium;potassium dietary;potassium, dietary",heart failure,foodis,cause,1,cause,,
280,dietary potassium,hyperkalemia,"In one case the cause was unknown while, in the last case, hyperkalemia was due to rapid infusion of stored blood and solutions containing high concentrations of potassium.","dietary potassium;k;potassium;potassium dietary;potassium, dietary",hyperkalemia,foodis,cause,1,cause,,
281,dietary potassium,ventricular arrhythmia,"Drug-induced torsades de pointes (TdP) is a potentially lethal ventricular arrhythmia that is associated with drugs that prolong the QT interval on the electrocardiogram (ECG) due to their interference with the cardiac potassium current,","dietary potassium;k;potassium;potassium dietary;potassium, dietary",ventricular arrhythmia,foodis,cause,1,cause,,
282,dietary supplement,effects toxics,"Cobalt (Co) toxicity is a potential public health problem due to recent renewed use of Co in orthopedic implants, dietary supplements, and blood doping in athletes and horses.","dietary supplement;dietary supplementations;dietary supplements;dietary supplements (medication);food supplement;food supplementations;food supplements;foods supplements;nutrient supplementation;nutrient supplementation (product);nutrient supplementation (substance);nutritional supplement;nutritional supplement (product);nutritional supplement (substance);nutritional supplement,special formulas;nutritional supplementation;nutritional supplements;supplement;supplement, food;supplemental nutrition;supplementations, dietary;supplements, dietary;supplements, food",effects toxics;tox;toxic;toxic effect;toxic effect (disorder);toxic effect of;toxicities;toxicity;toxics,foodis,cause,1,cause,,
283,dietary vegetable,(hypertensive disease) or (hypertension),"Regular consumption of a diet high in sodium, energy dense foods, fat content, refined carbohydrates, added sugar and low in fruits and vegetables contributes to an increased risk of developing hypertension (HTN) and cardiovascular disease.",dietary vegetable;vegetable;vegetable (substance);vegetables,"(hypertensive disease) or (hypertension);(hypertensive disease) or (hypertension) (disorder);3-02 hypertensive diseases;[x]hypertensive diseases;[x]hypertensive diseases (disorder);arterial hypertension;arterial hypertension systemic;blood high pressure;blood pressure high;blood pressure, high;blood pressure; high;blood pressures, high;bp - high blood pressure;bp+ - hypertension;complications affecting other specified body systems, not elsewhere classified, hypertension;hbp;hbp - high blood pressure;high blood pressure;high blood pressure disorder;high blood pressure/hypertension;high blood pressures;high bp;high; arterial tension;high; blood pressure;ht - hypertension;htn;htn - hypertension;hyperpiesia;hyperpiesis;hypertension arterial;hypertension, arterial;hypertension, nos;hypertensive cardiovascular disease or syndrome;hypertensive disease;hypertensive disease (disorder);hypertensive disease nos;hypertensive disease nos (disorder);hypertensive disease, nos;hypertensive diseases;hypertensive disorder;hypertensive disorder, systemic arterial (disorder);hypertensive vascular degeneration;hypertensive vascular disease;raised blood pressure (disorder);surg comp - hypertension;systemic arterial hypertension;systemic htn;systemic hypertension;systemic hypertension (diagnosis);vascular hypertension;vascular hypertensive disorder;vascular hypertensive disorders",foodis,cause,1,cause,0,
